genename	transcript	log2FoldChange	padj
LRRC16A	NM_001173977,NM_017640	0.1290888475	0.4405413107
MIR181A1HG	NR_040073	-1.0198109396	NA
TMEM14E	NM_001123228	0.1121828369	0.8736455772
KDF1	NM_152365	-0.144424004	0.5784006662
PANK4	NM_018216	-0.4515343172	0.0572799346
SULF2	NM_001161841,NM_018837,NM_198596	0.344182805	0.0195714757
SLC6A8	NM_001142805,NM_001142806,NM_005629	0.777689605	0.0133373738
AMOTL2	NM_001278683,NM_001278685,NM_016201	0.2189433135	0.1402099973
XRCC6	NM_001288976,NM_001288977,NM_001288978,NM_001469	0.6719414066	0.0014028816
LOC100507547	NR_037169,NR_037170,NR_037171,NR_037172	-0.0425435361	0.9549246782
MAGOHB	NM_001300739,NM_018048	0.0396877256	0.9119923994
RHOC	NM_001042678,NM_001042679,NM_175744	0.2220023729	0.1488967216
SKAP2	NM_001303468,NM_003930	0.4061130003	0.0432712178
KLHL24	NM_017644	-0.6489123835	0.0387684229
MORF4L2-AS1	NR_038978	-0.7385240502	0.2072117459
HID1	NM_030630	-0.0418582698	0.8329960796
ARAP1	NM_001040118,NM_001135190,NM_015242	-0.2109261077	0.3175205604
DHRS7B	NM_015510	-0.5011379219	0.0067776273
EFNA5	NM_001962	0.2232710782	0.6710499555
TRMT13	NM_019083	-0.7972122703	0.0236641694
IFITM1	NM_003641	0.8374093443	7.40758665974512E-006
LSR	NM_001260489,NM_001260490,NM_015925,NM_205834,NM_205835	-0.1245340493	0.4158363127
PLEKHB1	NM_001130033,NM_001130034,NM_001130035,NM_001130036,NM_021200	0.6055257573	0.0606889636
KNSTRN	NM_001142761,NM_001142762,NM_033286	1.7263068743	1.58098803260456E-011
FAM106A	NR_026809	0.2320290839	0.7337914652
WDYHV1	NM_001283024,NM_001283027,NM_018024	0.0767857131	0.7509526342
MPP3	NM_001932,NR_003562	-0.3039207604	0.5558240666
TMEM261	NM_033428	0.8636211476	5.5704106022095E-005
LOC101928855	NR_110852	0.5706847867	NA
RNPEP	NM_020216	1.0040489726	2.7538923490698E-005
SPTBN5	NM_016642	-0.4788449137	NA
INADL	NM_176877	-0.425770591	0.011325277
PANK3	NM_024594	-0.0032933298	0.9881349546
L3MBTL1	NM_015478,NM_032107	-0.8180512541	0.123521316
INO80	NM_017553,NR_104038	-0.3150998665	0.0793447912
TAB2	NM_001292034,NM_001292035,NM_015093,NR_125861	0.4647442647	0.0010596201
PDE6B	NM_000283,NM_001145291,NM_001145292	0.1615577631	0.7575737956
COL16A1	NM_001856	-0.9423899735	0.0490348117
RRP7B	NR_002184	-0.3048010926	0.4833085582
CENPI	NM_006733	2.1355166143	2.95980607765392E-014
PPP2R3A	NM_001190447,NM_002718,NM_181897	0.0748465789	0.7769172444
NFKBIE	NM_004556	-0.1671637394	0.6648440701
USH2A	NM_007123,NM_206933	-0.6361788418	0.199719076
ARSA	NM_000487,NM_001085425,NM_001085426,NM_001085427,NM_001085428	-0.7072369715	0.0303535073
PNISR	NM_015491,NM_032870	-1.1953444597	7.46670675911227E-014
POLD3	NM_006591,NR_046409,NR_046410	0.3469343134	0.0624944529
ILVBL	NM_006844	0.4784250457	0.0006740077
BSPRY	NM_017688	0.4150386162	0.0322210117
MAP4K4	NM_001242559,NM_001242560,NM_004834,NM_145686,NM_145687	-0.0407692411	0.8127220151
ONECUT2	NM_004852	-0.4978640598	0.0202833296
TMEM255B	NM_182614	-0.1282269455	NA
LYPD3	NM_014400	0.9231371694	3.52831435788143E-005
C20orf96	NM_080571,NM_153269	-0.6464393997	0.26486346
GNL2	NM_013285	-0.313359564	0.0405337309
NAGPA	NM_016256	-0.2171131011	0.4989029096
LINC00639	NR_039982	-0.3738595861	NA
ARHGAP36	NM_001282607,NM_144967	-0.9241159773	1.52714710467432E-008
SDCBP2	NM_001199784,NM_015685,NM_080489	-0.3021987625	0.5799232969
PABPC4	NM_001135653,NM_001135654,NM_003819	1.2057388995	1.47653894702326E-010
FOXCUT	NR_125804	-0.2284232838	NA
ADPGK-AS1	NR_040107	-0.5077819484	0.4039286174
NUDT11	NM_018159	0.8150211635	NA
RASSF10	NM_001080521	-0.0031976873	NA
TIMM23B	NM_001290117,NM_001290118,NR_110767	-0.1937822587	0.6047340498
GUK1	NM_000858,NM_001159390,NM_001159391,NM_001242839,NM_001242840	0.0100457009	0.9585268602
MEPCE	NM_001194990,NM_001194991,NM_001194992,NM_019606	0.4343919275	0.0006872377
CDK1	NM_001170406,NM_001170407,NM_001786,NM_033379	1.3075616432	4.6831157429071E-017
MPPE1	NM_001242904,NM_023075,NR_040241,NR_040242,NR_040243	-0.5052898074	0.0434331126
PCDHA2	NM_018905,NM_031495,NM_031496	0.5229286131	0.3803290261
FAIM3	NM_001142473,NM_001193338,NM_005449	0.0073082166	0.9903127396
LINC01167	NR_125763	0.0233453018	NA
MGA	NM_001080541,NM_001164273	-0.2743513118	0.0182230589
WBP1L	NM_001083913,NM_017787	-0.0828953325	0.6213248642
ZNF181	NM_001029997,NM_001145665	-0.9202465306	0.0003794189
TAPT1	NM_153365	-0.3794511115	0.0614116911
MTHFR	NM_005957	0.1305927106	0.6199960441
ZNHIT1	NM_006349	-0.0850243184	0.6205704986
PECR	NM_018441	0.214305129	0.5709400543
DHX33	NM_001199699,NM_020162	-0.0918986291	0.7520867044
TMEM80	NM_001042463,NM_001276253,NM_001276274,NM_174940	-0.5070253466	0.2052826089
VMP1	NM_030938	-0.1227749285	0.4389584058
CENPC	NM_001812	-0.6333261622	0.0052834969
SERPINB6	NM_001195291,NM_001271822,NM_001271823,NM_001271824,NM_001271825,NM_001297699,NM_001297700,NM_004568	0.6948261843	5.33251121274202E-005
AFAP1L2	NM_001001936,NM_001287824,NM_032550	-0.8734935389	0.0032432637
APPL1	NM_012096	0.1678339132	0.3636154505
LAMP2	NM_001122606,NM_002294,NM_013995	-0.3522111423	0.0123639831
ACAP3	NM_030649	-0.5419413124	0.008516104
KANSL1	NM_001193465,NM_001193466,NM_015443	0.4409157556	0.0750495778
BRD9	NM_001009877,NM_023924,NR_027633	-0.4925079202	0.0010454846
OVGP1	NM_002557	0.1392790312	0.8281403266
DNAJC10	NM_001271581,NM_018981,NR_073365,NR_073366,NR_073367	-0.3240962323	0.0582747054
CASC4	NM_138423,NM_177974	-0.3489515492	0.0219834336
ZNF564	NM_144976	-0.1476979931	0.5267679597
DCBLD2	NM_080927	0.1730938743	0.3130180465
SPATA20	NM_001258372,NM_001258373,NM_022827	-0.0382339874	0.8404704428
PPM1J	NM_005167	0.3190181366	0.5431867512
KRIT1	NM_001013406,NM_004912,NM_194454,NM_194455,NM_194456	-0.7983610651	2.4897291906457E-008
ANO4	NM_001286615,NM_001286616,NM_178826	0.0280409635	0.9703365319
STRBP	NM_001171137,NM_018387,NR_033234	-0.2855190135	0.0340427195
ACSM3	NM_005622,NM_202000	0.44168623	NA
MRPS22	NM_020191	-0.1850351037	0.4357493505
RPAIN	NM_001033002,NM_001160243,NM_001160244,NM_001160246,NM_001160266,NR_027679,NR_027682,NR_027683,NR_027684,NR_027685	-0.535499012	0.0023569411
EIF4A3	NM_014740	0.041850473	0.8153533983
SLC27A3	NM_024330	0.6570381456	0.0009895465
NAPG	NM_003826	-0.1872507818	0.2778680156
LOC100499484	NR_036526	-0.6382001656	0.2301871883
POC5	NM_001099271,NM_152408	-0.0387303717	0.8992163715
DCAF6	NM_001017977,NM_001198956,NM_001198957,NM_018442	-0.1559120993	0.4939302394
CEP170B	NM_001112726,NM_015005	-0.2529211664	0.0958871029
RBM45	NM_152945	-0.1497833431	0.5839389452
PDCD2L	NM_032346	0.0545204403	0.9061371441
TMEM169	NM_001142310,NM_001142311,NM_001142312,NM_138390	0.2574328952	0.6982698627
SLC22A17	NM_001289050,NM_016609,NM_020372,NR_110290	-0.3404306693	0.3234574106
UPF2	NM_015542,NM_080599	-0.2683337351	0.0516498351
CPZ	NM_001014447,NM_001014448,NM_003652	0.7918598594	0.1736938189
NETO2	NM_001201477,NM_018092	0.1308865439	0.5615693824
JADE2	NM_001289984,NM_001289985,NM_015288	0.2879347121	0.0324806184
LRP12	NM_001135703,NM_013437	-0.2650520264	0.4082578936
CCDC50	NM_174908,NM_178335	-0.2101334177	0.2565944449
CASD1	NM_022900	-0.69593085	0.0097710814
AMOTL1	NM_001301007,NM_130847	0.3045362152	0.1770613684
SEPT6	NM_015129,NM_145799,NM_145800,NM_145802	0.6119142585	NA
CCDC110	NM_001145411,NM_152775	0.7128521318	NA
FIS1	NM_016068	0.1573604778	0.3380986935
DSN1	NM_001145315,NM_001145316,NM_001145317,NM_001145318,NM_024918	0.7363782325	0.0019339444
ADCK4	NM_001142555,NM_024876	0.2583523277	0.3975587637
SLC12A8	NM_001195483,NM_024628	0.1559006913	0.800918633
ZNF2	NM_001017396,NM_001282398,NM_001291604,NM_001291605,NM_021088	0.1458240844	0.6508922938
GPR115	NM_153838	-0.3545477251	0.1737693811
GADD45G	NM_006705	-1.334858596	6.64940797751583E-005
ZCCHC24	NM_153367	0.8097708192	0.0061741091
GPATCH3	NM_022078	-0.4421084736	0.1086017354
HP1BP3	NM_016287	0.2936416396	0.0761188331
NFU1	NM_001002755,NM_001002756,NM_015700,NR_045631,NR_045632	-0.2471855909	0.2783350537
FGFR1	NM_001174063,NM_001174064,NM_001174065,NM_001174066,NM_001174067,NM_015850,NM_023105,NM_023106,NM_023110	-0.9089956424	0.000019916
ANKRD20A4	NM_001098805	-0.9816257906	NA
BEND6	NM_152731	-0.3712342475	0.5179067239
ZCWPW2	NM_001040432	-0.3451968943	0.5952326839
UBAC1	NM_016172	0.2119317083	0.1939462685
KLHDC2	NM_014315	-0.1765657541	0.4417140299
STAM-AS1	NR_110370	-0.5800163208	0.2838643038
HMGA1	NM_002131,NM_145899,NM_145901,NM_145902,NM_145903,NM_145905	1.1887047347	2.58488807654669E-008
WBP2NL	NM_152613	-0.2362797001	NA
RBBP4	NM_001135255,NM_001135256,NM_005610	0.0424399473	0.7858479865
EIF5A	NM_001143760,NM_001143761,NM_001143762,NM_001970	0.5793025408	0.0085108508
TMED10P1	NR_002807	-0.6028800603	0.0104720848
SCYL1	NM_001048218,NM_020680	0.023305569	0.8914810438
RNF2	NM_007212	-0.0846826972	0.752231903
CD180	NM_005582	0.1084780237	NA
LMF2	NM_033200	0.4155412965	0.1185584316
CC2D1B	NM_032449	-0.3125216349	0.1458110356
MTR	NM_000254,NM_001291939,NM_001291940	-0.1458081619	0.3041926131
TRIOBP	NM_001039141,NM_007032,NM_138632	0.5742855069	0.0069402899
KPNA6	NM_012316	0.3570217474	0.0139396314
PAX8-AS1	NR_015377,NR_047570	-0.4288911518	0.0342975815
UBE2F	NM_001278305,NM_001278306,NM_001278307,NM_001278308,NM_080678,NR_103498,NR_103499,NR_103500	-0.5968536226	0.0019728494
C18orf65	NM_001272093	0.3320347374	NA
MTRNR2L6	NM_001190487	-0.2611194829	NA
LOC100132356	NR_034127	-0.4486421993	0.2390236638
FAM132B	NM_001291832	0.6705335774	0.2550750503
ETFB	NM_001014763,NM_001985	1.0117367057	3.65748911471188E-007
HINT1	NM_005340,NR_024610,NR_024611,NR_073488	0.5276587583	3.76288184112406E-005
OLA1	NM_001011708,NM_013341	0.3549524249	0.004181788
PITX2	NM_000325,NM_001204397,NM_001204398,NM_001204399,NM_153426,NM_153427	0.1795606792	0.7588729868
CCDC149	NM_001130726,NM_173463	0.7334374391	0.001715757
H2AFZ	NM_002106	1.0371982297	7.34778943624443E-012
BEST4	NM_153274	0.2232368432	NA
WDR83	NM_001099737,NM_032332,NR_029375	-0.5092326062	0.0496351481
TNKS2	NM_025235	-0.0858253384	0.6808311127
TMEM163	NM_030923	-0.4809611139	NA
C1orf198	NM_001136494,NM_001136495,NM_032800	-0.0741762028	0.7286422042
RANBP9	NM_005493	0.0990171489	0.5886414719
COQ4	NM_016035	0.2469904767	0.222522446
PCDHA12	NM_018903,NM_031864	0.5358657233	0.0649947867
ZNF346	NM_012279	0.1905908295	0.4117890919
ARPIN	NM_001282380,NM_182616	-0.369831809	0.2809717999
QARS	NM_001272073,NM_005051,NR_073590	1.023093327	1.49872591143204E-017
RUFY3	NM_001037442,NM_001130709,NM_001291993,NM_001291994,NM_014961	-0.1038276449	0.7724377875
DCAF11	NM_001163484,NM_025230,NM_181357,NR_028099,NR_028100	0.0171542463	0.9291393193
THUMPD3-AS1	NR_027007	0.1261683887	0.6982698627
TM7SF2	NM_001277233,NM_003273,NR_102367	0.8783899495	6.17862468847299E-013
CHRM1	NM_000738	0.9175887084	0.1070949079
RASSF4	NM_032023	0.4477210867	NA
TMEM241	NM_032933	0.1723439076	0.5654662727
LOC101927572	NM_001290056	0.8572676913	0.1294681453
IKZF4	NM_022465	0.9049689963	0.0696378865
CCDC163P	NR_033296,NR_033297,NR_033298	-0.3388089136	0.5206397737
EIF2D	NM_001201478,NM_006893	0.9577217261	6.70416623130417E-010
MERTK	NM_006343	-0.6770831913	0.2256937018
PAPLN	NM_173462	-0.5251316909	0.3717518428
CYP24A1	NM_000782,NM_001128915	0.6782657624	0.0781589032
L3HYPDH	NM_144581	-0.6200209386	0.0727662593
CLPB	NM_001258392,NM_001258393,NM_001258394,NM_030813	-0.1875572777	0.5695968364
WSB1	NM_015626,NM_134265	-0.377196853	0.0291671415
OSTM1	NM_014028	-0.5672540145	0.0011258419
SLC30A4	NM_013309	0.0545042937	0.9216939837
ERCC2	NM_000400,NM_001130867	0.2131754843	0.3987940104
TPP1	NM_000391	-0.1099547405	0.7402688505
UBL7-AS1	NR_038448,NR_038449,NR_120377	1.0613112876	0.0004297397
SNX17	NM_001267059,NM_001267060,NM_001267061,NM_014748,NR_049782,NR_049783,NR_049784,NR_049785,NR_049786,NR_049787,NR_049788	0.3495300296	0.0255534252
RHEB	NM_005614	0.2110775025	0.2272863103
LGI2	NM_018176	0.0428083174	NA
VPS4B	NM_004869	-0.3584441116	0.0417906571
PPM1E	NM_014906,NR_048561	0.7896045857	9.50933565060235E-005
NFATC2IP	NM_032815	0.1880922493	0.3503770617
CASP8AP2	NM_001137667,NM_001137668,NM_012115	-0.2850554416	0.2331297526
SNTA1	NM_003098	0.2771926879	0.6215708256
CBX3	NM_007276,NM_016587	-0.103766298	0.6058835862
CFAP20	NM_013242	0.4758728876	0.0151850431
N6AMT1	NM_013240,NM_182749,NR_047510	-0.6659192265	0.0414525127
VPS13D	NM_015378,NM_018156	-0.3168580453	0.0177081258
LOC100506499	NR_102736	0.3406128224	0.6001650049
ABCA17P	NR_003574	0.1794943466	0.7944394606
NFYC	NM_001142587,NM_001142588,NM_001142589,NM_001142590,NM_014223	0.2739978192	0.1284208073
ZNF687	NM_020832	-0.0551418279	0.744837205
S1PR3	NM_005226	-1.3409638105	4.60675299048829E-006
DDTL	NM_001084393	-0.7830235933	0.0744964962
DEDD	NM_001039711,NM_001039712,NM_032998	0.2808300854	0.2349964517
FZR1	NM_001136197,NM_001136198,NM_016263	-0.0266863927	0.9122901223
NEK8	NM_178170	-0.401638248	0.2382514564
SELENBP1	NM_001258288,NM_001258289,NM_003944	-0.2641866042	0.4389118898
CNIH4	NM_001277197,NM_001277198,NM_001277199,NM_001277200,NM_014184,NR_102347	-0.3981537198	0.0073232286
HTR7P1	NR_002774	-1.3105462323	2.95222319191775E-008
SGCB	NM_000232	-0.127703157	0.6770758643
PHF21A	NM_001101802,NM_016621	0.7029514559	0.0061926106
ARMC8	NM_001267041,NM_001267042,NM_001282342,NM_014154,NM_015396,NM_213654	0.0233627613	0.9155292737
RRNAD1	NM_001142560,NM_015997	-0.1634907736	0.540345351
DNAJA4	NM_001130182,NM_001130183,NM_018602	0.8177747603	5.07557161635574E-006
BCCIP	NM_016567,NM_078468,NM_078469	-0.6350122108	0.0001959306
MCM5	NM_006739	1.3572629497	3.34915637233361E-012
LRRC49	NM_001199017,NM_001199018,NM_001284357,NM_017691	-0.197252246	0.737147475
FAM175A	NM_139076	-0.4319086194	0.085970653
ALOX12B	NM_001139	-0.2262069046	NA
IGFBP2	NM_000597	-0.2144803103	0.1420209849
EXTL2	NM_001033025,NM_001261440,NM_001261441,NM_001261442,NM_001439,NR_048570	0.4586306721	0.2733808008
SULT2B1	NM_004605,NM_177973	1.1901324633	6.04424798131131E-007
TYMP	NM_001113755,NM_001113756,NM_001257988,NM_001257989,NM_001953	0.4151309267	0.5165405378
DHX35	NM_001190809,NM_021931,NR_033905	-0.4729170501	0.0693909596
FLJ37453	NR_024279	-0.1350812093	0.6790110756
TMEM249	NM_001252402,NM_001252404,NM_001280561,NR_047684	-0.9020852717	NA
RUVBL2	NM_006666	0.6332450748	0.0029606669
FAM126B	NM_173822	-0.0720435179	0.7522937584
NANOS1	NM_199461	0.4430396528	0.1803968997
MCAM	NM_006500	0.4084477248	NA
KRT19	NM_002276	0.4118979727	5.02261891091122E-005
BBS12	NM_001178007,NM_152618	-0.5423300174	0.1935230151
UTP3	NM_020368	-0.4125473865	0.0163333203
SRD5A3	NM_024592	-0.002966554	0.9915147434
C12orf4	NM_020374	-0.5833750165	0.0312540731
LMCD1-AS1	NR_033378	0.4630071847	0.4480067796
AMFR	NM_001144	0.220925856	0.3709238046
REXO2	NM_015523	-0.0265896995	0.9342486041
CORO1A	NM_001193333,NM_007074	0.8274320334	0.1318313219
ARL8A	NM_001256129,NM_138795	-0.0381498489	0.8632654514
IPP	NM_001145349,NM_005897	0.2319395035	0.3836451646
TDRKH	NM_001083963,NM_001083964,NM_001083965,NM_006862	0.3502301014	0.0348399679
SRRD	NM_001013694	0.0336058673	0.9319091871
BRWD3	NM_153252	-0.4681388843	0.0673907983
MICALL2	NM_182924	-0.3848596532	0.0345678596
LOC100506860	NR_109780	0.3492855847	NA
DOK4	NM_018110	0.5842282968	0.0176333556
PYGB	NM_002862	0.1481469471	0.2824405638
PSMD14	NM_005805	0.2611556241	0.0423847886
MARK3	NM_001128918,NM_001128919,NM_001128920,NM_001128921,NM_002376	-0.2025325581	0.1681194892
ZNF516	NM_014643	0.4411867934	0.0058943933
RSRC2	NM_023012,NR_036434,NR_036435,NR_036436	-0.7864388521	0.000002402
TMEM108	NM_001136469,NM_001282865,NM_023943	-0.1499346989	NA
SLC33A1	NM_001190992,NM_004733	-0.4366178309	0.0046954572
ST6GALNAC6	NM_001286999,NM_001287000,NM_001287001,NM_001287002,NM_001287003,NM_013443,NR_104629	-0.3381196203	0.1315563149
ADARB1	NM_001112,NM_001160230,NM_015833,NM_015834,NR_027672,NR_027673,NR_027674,NR_073200	-0.0942318011	0.6978207445
NPY1R	NM_000909	-0.8398795934	0.1434927668
INCA1	NM_001167985,NM_001167986,NM_001167987,NM_213726	0.17427867	0.8035658435
CERS2	NM_022075,NM_181746	-0.4906796307	3.34173237724521E-006
PLEKHO2	NM_001195059,NM_025201	-0.1875501828	0.6481196516
KRT17	NM_000422	0.7657089315	0.0020350253
USP18	NM_017414	1.1457796602	0.0001130066
TMED9	NM_017510	-0.2241474217	0.0611326
RPGRIP1L	NM_001127897,NM_015272	0.247905477	0.5750296674
MACROD1	NM_014067	0.4916813838	0.008989812
GDI1	NM_001493	-0.0210650499	0.9134434659
SMIM8	NM_001042493,NM_001287445,NM_020425	-0.2197872306	0.6174975127
EPN3	NM_017957	0.5188479233	0.0205613958
PLEKHG3	NM_015549	0.3048740989	0.0248634984
MCPH1	NM_001172574,NM_001172575,NM_024596	-0.0652118099	0.8256837477
TMEM63C	NM_020431	1.2024400861	0.0037485412
PRRC2A	NM_004638,NM_080686	0.5842185538	0.0138967433
SCO1	NM_004589	-0.0389497163	0.8755564378
RPA1	NM_002945	0.3054597937	0.0263578045
HERC2P3	NR_036432	-0.8864978657	0.0194170593
REEP3	NM_001001330	-0.2716818832	0.3272674062
PSMC4	NM_006503,NM_153001	0.512452271	0.0165808322
SEPT9	NM_001113491,NM_001113492,NM_001113493,NM_001113494,NM_001113495,NM_001113496,NM_001293695,NM_001293696,NM_001293697,NM_001293698,NM_006640	0.8455293619	3.68195282140008E-009
AGL	NM_000028,NM_000642,NM_000643,NM_000644,NM_000645,NM_000646	0.0975893705	0.6811595955
WIPI1	NM_017983	0.4706236008	0.0095485047
C19orf48	NM_001290149,NM_001290150,NM_001290151,NM_001290152,NM_001290153,NM_001290154,NM_001290155,NM_032712,NM_199249,NM_199250	0.9086879803	1.16415012749779E-010
OGDH	NM_001003941,NM_001165036,NM_002541	0.3465808561	0.0161033765
CAGE1	NM_001170692,NM_001170693,NM_205864	-0.1580523954	NA
FOXD1	NM_004472	0.1967893245	0.6456175755
RBM15	NM_001201545,NM_022768	0.054827263	0.7661708776
NPY5R	NM_006174	-1.2719774648	0.0035277843
SPINT2	NM_001166103,NM_021102	-0.4732070408	0.0001645926
FAM184A	NM_001100411,NM_001288576,NM_024581	0.03931187	0.9450801151
ADRA2A	NM_000681	-1.2142613424	0.0255002025
MANEA-AS1	NR_047502,NR_104136	-0.1691905761	NA
SLC50A1	NM_001122837,NM_001122839,NM_001287586,NM_001287587,NM_001287588,NM_001287589,NM_001287590,NM_001287591,NM_001287592,NM_018845	0.9027536851	1.03858874836052E-006
BLVRB	NM_000713	1.0971397329	4.72265099754631E-020
EXOC3-AS1	NR_126522	-0.4329454984	0.160663766
C1QL3	NM_001010908	0.0425361029	0.955026386
GUSB	NM_000181,NM_001284290,NM_001293104,NM_001293105,NR_120531	-1.1291177681	0.0134032437
NATD1	NM_152914	0.4112565113	0.2117367199
GATB	NM_004564	0.7407011727	0.0066872177
LGALS3BP	NM_005567	0.685836007	3.60744264001148E-009
MARCH7	NM_001282805,NM_001282806,NM_001282807,NM_022826	-0.145205625	0.4939950249
ZNF276	NM_001113525,NM_152287,NR_110122,NR_110126,NR_110128,NR_110129	-0.7439603323	8.96427872906181E-006
C9orf43	NM_001278629,NM_001278630,NM_152786	-0.1670751571	0.7960487975
PRICKLE2-AS3	NR_046702	-0.0005033562	NA
SGK3	NM_001033578,NM_013257,NM_170709	0.4381415862	0.0127990593
C19orf24	NM_017914	-0.230050298	0.3988044888
CD44	NM_000610,NM_001001389,NM_001001390,NM_001001391,NM_001001392,NM_001202555,NM_001202556,NM_001202557	-0.049858591	0.9429199642
MICB	NM_001289160,NM_001289161,NM_005931	-0.4564221748	0.0176047236
PRPF38A	NM_032864	-0.115065708	0.6056156961
LINS	NM_001040616	-0.8763055272	5.56182506890549E-005
HECTD2	NM_001284274,NM_173497,NM_182765,NR_104291	-0.2031931129	0.3953755193
ZBTB47	NM_145166	1.2292071953	0.0062712091
APLF	NM_173545	0.6612698891	NA
HOXB2	NM_002145	-0.1694072483	NA
MAP2K3	NM_002756,NM_145109	0.7978609156	0.0016753631
PPFIA4	NM_015053	1.0434001068	0.0183683394
CAMSAP3	NM_001080429,NM_020902	-0.2397440037	0.2224276142
PITPNA-AS1	NR_028514	-0.6309839132	0.0317426975
NRCAM	NM_001037132,NM_001193582,NM_001193583,NM_001193584,NM_005010	-0.5945392093	0.0148842893
CWC27	NM_001297644,NM_001297645,NM_005869	0.0583413954	0.8340757576
IFI44	NM_006417	0.071035754	NA
MFSD5	NM_001170790,NM_032889	-0.8331035216	4.12908112274168E-006
ENPP4	NM_014936	-0.366181123	0.0812123696
SDHAP2	NR_003265	-0.4065225139	0.0843754477
MIRLET7BHG	NR_027033,NR_110479	0.0371362167	0.9408390674
RCHY1	NM_001009922,NM_001278536,NM_001278537,NM_001278538,NM_001278539,NM_015436,NR_037913,NR_037914,NR_103723,NR_103724,NR_103725	-0.2814456212	0.2861150861
TST	NM_001270483,NM_003312	0.4976215109	0.0049575589
CCDC81	NM_001156474,NM_021827	-0.7678068951	0.169895333
FRMD6-AS1	NR_037676	-0.1820556773	0.7133976914
WDR91	NM_014149	-0.2094223853	0.49982843
THOC3	NM_032361	0.5963783312	0.0016946572
SMYD4	NM_052928	-0.3090298652	0.1415874201
GOLGA2P5	NR_024261,NR_036632	-1.3197463373	6.39964815320157E-006
MYH3	NM_002470	-1.0663886585	0.0503436339
COPG2	NM_012133	0.845802975	1.75305764238729E-005
SELT	NM_016275	-0.5523501931	0.0023968312
PRKCE	NM_005400	0.054246167	0.8268927389
TAF2	NM_003184	-0.2088539069	0.1565084871
SERGEF	NM_012139,NR_104040,NR_104041	-0.0632542933	0.859449205
FLT1	NM_001159920,NM_001160030,NM_001160031,NM_002019	-0.6790491051	0.2522281079
DNAJC27-AS1	NR_034113	-0.5670305032	0.2516865929
SPEG	NM_001173476,NM_005876	-0.6690244402	0.170820389
PCED1B	NM_001281429,NM_138371	-0.1222621062	0.7984217366
KBTBD11	NM_014867	0.2845433057	0.5085286786
LRRC37A	NM_014834	-0.2286698681	0.7165307198
EBF2	NM_022659	0.6015885843	NA
IER3IP1	NM_016097	-0.491295819	0.0131971244
TMPO	NM_001032283,NM_001032284,NM_003276	1.0357042345	2.37544294372348E-019
SRD5A1	NM_001047	0.7826527566	0.0007712196
HN1	NM_001002032,NM_001002033,NM_001288609,NM_001288610,NM_001288611,NM_016185,NR_109933	0.7035910079	2.00391339593618E-005
SORT1	NM_001205228,NM_002959	0.0124910775	0.9383535834
TIMM17A	NM_006335	-0.6971994807	8.07571375705805E-006
DCXR	NM_001195218,NM_016286	0.7640185381	0.0005545975
APOL6	NM_030641	0.6958479943	0.2162728834
NHS	NM_001136024,NM_001291867,NM_001291868,NM_198270	-1.261158408	1.87515002510657E-012
LOC101928063	NR_110727	0.2551297687	NA
STPG1	NM_001199012,NM_001199013,NM_001199014,NM_178122	0.1209488734	0.8305379112
ELF1	NM_001145353,NM_172373	0.3593984259	0.0247096676
LINC01515	NR_120647	-0.2387400184	NA
RMDN1	NM_001286707,NM_001286719,NM_016033	-0.1582751189	0.4691076241
